"Chemical Name","Male Rat Chronic Bioassay Level of Evidence","Female Rat Chronic Bioassay Level of Evidence","Male Mouse Chronic Bioassay Level of Evidence","Female Mouse Chronic Bioassay Level of Evidence","Male Hamster Chronic Bioassay Level of Evidence","Female Hamster Chronic Bioassay Level of Evidence","Male Fish Chronic Bioassay Level of Evidence","Female Fish Chronic Bioassay Level of Evidence","Multiple Level of Evidence Conclusion? T/F","Bacterial Mutagenicity Conclusion","Male Rat Micronucleus Conclusion","Female Rat Micronucleus Conclusion","Male Mouse Micronucleus Conclusion","Female Mouse Micronucleus Conclusion","In Vitro Micronucleus Conclusion","Male Rat Comet Assay Conclusion","Female Rat Comet Assay Conclusion","Male Mouse Comet Assay Conclusion","Female Mouse Comet Assay Conclusion","NTP Publication Number",DTXSID,CASRN
Phosphamidon,"Equivocal Evidence","Equivocal Evidence",Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13171-21-6)",,,,,,,,,,TR-016,DTXSID7021156," 13171-21-6 ( https://cebs.niehs.nih.gov/cebs/test_article/13171-21-6)"
2-Hydroxy-4-methoxybenzophenone,"Equivocal Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=131-57-7)",,,Negative,Negative,,,,,,"TR-597 | TR-E02186.01 | TR-E02187.01",DTXSID3022405," 131-57-7 ( https://cebs.niehs.nih.gov/cebs/test_article/131-57-7)"
"Diphenhydramine hydrochloride","Equivocal Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=147-24-0)",,,,,,,,,,TR-355,DTXSID4020537," 147-24-0 ( https://cebs.niehs.nih.gov/cebs/test_article/147-24-0)"
"Oxytetracycline hydrochloride","Equivocal Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2058-46-0)",,,,,,,,,,TR-315,DTXSID5021097," 2058-46-0 ( https://cebs.niehs.nih.gov/cebs/test_article/2058-46-0)"
"Pentaerythritol tetranitrate","Equivocal Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=78-11-5)",,,,,,,,,,TR-365,DTXSID2023430," 78-11-5 ( https://cebs.niehs.nih.gov/cebs/test_article/78-11-5)"
"Rhodamine 6G","Equivocal Evidence","Equivocal Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=989-38-8)",,,,,,,,,,TR-364,DTXSID1021243," 989-38-8 ( https://cebs.niehs.nih.gov/cebs/test_article/989-38-8)"
"Metal Working Fluids: CIMSTAR 3800","Equivocal Evidence","Equivocal Evidence","No Evidence","Some Evidence",,,,,F,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=CIMSTAR3800)",Negative,Negative,Negative,Negative,,,,,,TR-586,," CIMSTAR3800 ( https://cebs.niehs.nih.gov/cebs/test_article/CIMSTAR3800)"
Aldrin,"Equivocal Evidence","Equivocal Evidence",Positive,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=309-00-2)",,,,,,,,,,TR-021,DTXSID8020040," 309-00-2 ( https://cebs.niehs.nih.gov/cebs/test_article/309-00-2)"
Chlorobenzilate,"Equivocal Evidence","Equivocal Evidence",Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=510-15-6)",,,,,,,,,,TR-075,DTXSID9020299," 510-15-6 ( https://cebs.niehs.nih.gov/cebs/test_article/510-15-6)"
Toxaphene,"Equivocal Evidence","Equivocal Evidence",Positive,Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=8001-35-2)",,,,,,,,,,TR-037,DTXSID7021368," 8001-35-2 ( https://cebs.niehs.nih.gov/cebs/test_article/8001-35-2)"
Chloroethane,"Equivocal Evidence","Equivocal Evidence",,"Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-00-3)",,,,,,,,,,TR-346,DTXSID1020302," 75-00-3 ( https://cebs.niehs.nih.gov/cebs/test_article/75-00-3)"
"Leucomalachite green","Equivocal Evidence","Equivocal Evidence",,"Some Evidence",,,,,F," ()",,,,Positive,,,,,,TR-527,DTXSID7031531," 129-73-7 ( https://cebs.niehs.nih.gov/cebs/test_article/129-73-7)"
"Aroclor 1254","Equivocal Evidence","Equivocal Evidence",,,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=11097-69-1)",,,Negative,,,,,,,TR-038,DTXSID5020100," 11097-69-1 ( https://cebs.niehs.nih.gov/cebs/test_article/11097-69-1)"
"Titanocene dichloride","Equivocal Evidence","Equivocal Evidence",,,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1271-19-8)",,,,,,,,,,TR-399,DTXSID3021354," 1271-19-8 ( https://cebs.niehs.nih.gov/cebs/test_article/1271-19-8)"
"Ethyl tellurac","Equivocal Evidence",Negative,"Equivocal Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=20941-65-5)",,,,,,,,,,TR-152,DTXSID3020594," 20941-65-5 ( https://cebs.niehs.nih.gov/cebs/test_article/20941-65-5)"
"Proflavin hydrochloride","Equivocal Evidence",Negative,"Equivocal Evidence","Equivocal Evidence",,,,,F," ()",,,,,,,,,,TR-005,DTXSID8021191," 952-23-8 ( https://cebs.niehs.nih.gov/cebs/test_article/952-23-8)"
p-Chloroaniline,"Equivocal Evidence",Negative,"Equivocal Evidence","Equivocal Evidence",,,,,F,"Weakly Positive; Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-47-8)",,,,,,,,,,TR-189,DTXSID9020295," 106-47-8 ( https://cebs.niehs.nih.gov/cebs/test_article/106-47-8)"
"Propyl gallate","Equivocal Evidence",Negative,"Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=121-79-9)",,,"Positive; Negative",,,,,,,TR-240,DTXSID5021201," 121-79-9 ( https://cebs.niehs.nih.gov/cebs/test_article/121-79-9)"
"3-Nitropropionic acid","Equivocal Evidence",Negative,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=504-88-1)",,,,,,,,,,TR-052,DTXSID1020982," 504-88-1 ( https://cebs.niehs.nih.gov/cebs/test_article/504-88-1)"
Azinphosmethyl,"Equivocal Evidence",Negative,Negative,Negative,,,,,F,"Weakly Positive; Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=86-50-0)",,,,,,,,,,TR-069,DTXSID3020122," 86-50-0 ( https://cebs.niehs.nih.gov/cebs/test_article/86-50-0)"
Chlorobenzene,"Equivocal Evidence",Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=108-90-7)",,,Negative,,,,,,,TR-261,DTXSID4020298," 108-90-7 ( https://cebs.niehs.nih.gov/cebs/test_article/108-90-7)"
"Stannous chloride","Equivocal Evidence",Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7772-99-8)",,,Negative,,,,,,,TR-231,DTXSID8021351," 7772-99-8 ( https://cebs.niehs.nih.gov/cebs/test_article/7772-99-8)"
Tetrachlorodiphenylethane,"Equivocal Evidence",Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=72-54-8)",,,,,,,,,,TR-131,DTXSID4020373," 72-54-8 ( https://cebs.niehs.nih.gov/cebs/test_article/72-54-8)"
"p-Anisidine hydrochloride","Equivocal Evidence",Negative,Negative,Negative,,,,,F," ()",,,,,,,,,,TR-116,DTXSID3020093," 20265-97-8 ( https://cebs.niehs.nih.gov/cebs/test_article/20265-97-8)"
"1,1,1,2-Tetrachloroethane","Equivocal Evidence",Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=630-20-6)",,,Positive,,,,,,,TR-237,DTXSID2021317," 630-20-6 ( https://cebs.niehs.nih.gov/cebs/test_article/630-20-6)"
"1,1,2,2-Tetrachloroethane","Equivocal Evidence",Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=79-34-5)",,,"Positive; Equivocal",Positive,,,,,,TR-027,DTXSID7021318," 79-34-5 ( https://cebs.niehs.nih.gov/cebs/test_article/79-34-5)"
Pentachloroethane,"Equivocal Evidence",Negative,Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=76-01-7)",,,Negative,,,,,,,TR-232,DTXSID7021104," 76-01-7 ( https://cebs.niehs.nih.gov/cebs/test_article/76-01-7)"
"Kava kava extract","Equivocal Evidence","No Evidence","Clear Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=9000-38-8)",,,Negative,Negative,,,,,,TR-571,DTXSID901018742," 9000-38-8 ( https://cebs.niehs.nih.gov/cebs/test_article/9000-38-8)"
Oxazepam,"Equivocal Evidence","No Evidence","Clear Evidence","Clear Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=604-75-1)",,,Negative,Negative,,,,,,"TR-443 | TR-468",DTXSID1021087," 604-75-1 ( https://cebs.niehs.nih.gov/cebs/test_article/604-75-1)"
"Primidone (primaclone)","Equivocal Evidence","No Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=125-33-7)",,,Negative,Negative,,,,,,TR-476,DTXSID7023510," 125-33-7 ( https://cebs.niehs.nih.gov/cebs/test_article/125-33-7)"
"Propylene glycol mono-t-butyl ether","Equivocal Evidence","No Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57018-52-7)",,,Negative,"Weakly Positive",,,,,,TR-515,DTXSID8025967," 57018-52-7 ( https://cebs.niehs.nih.gov/cebs/test_article/57018-52-7)"
Isoeugenol,"Equivocal Evidence","No Evidence","Clear Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=97-54-1)",,,Negative,Positive,,,,,,TR-551,DTXSID7022413," 97-54-1 ( https://cebs.niehs.nih.gov/cebs/test_article/97-54-1)"
Triethanolamine,"Equivocal Evidence","No Evidence","Equivocal Evidence","Some Evidence",,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=102-71-6)",,,Negative,Negative,,,,,,"TR-449 | TR-518",DTXSID9021392," 102-71-6 ( https://cebs.niehs.nih.gov/cebs/test_article/102-71-6)"
"5,5-Diphenylhydantoin (phenytoin)","Equivocal Evidence","No Evidence","No Evidence","Clear Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57-41-0)",,,Negative,,,,,,,TR-404,DTXSID8020541," 57-41-0 ( https://cebs.niehs.nih.gov/cebs/test_article/57-41-0)"
Divinylbenzene,"Equivocal Evidence","No Evidence","No Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1321-74-0)",,,Negative,Negative,,,,,,TR-534,DTXSID2025216," 1321-74-0 ( https://cebs.niehs.nih.gov/cebs/test_article/1321-74-0)"
Acetonitrile,"Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-05-8)",,,Positive,Negative,,,,,,TR-447,DTXSID7020009," 75-05-8 ( https://cebs.niehs.nih.gov/cebs/test_article/75-05-8)"
"Ampicillin trihydrate","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7177-48-2)",,,,,,,,,,TR-318,DTXSID9020083," 7177-48-2 ( https://cebs.niehs.nih.gov/cebs/test_article/7177-48-2)"
"C.I. Pigment Red 23","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6471-49-4)",,,,,,,,,,TR-411,DTXSID3021227," 6471-49-4 ( https://cebs.niehs.nih.gov/cebs/test_article/6471-49-4)"
"Chromium picolinate monohydrate","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=27882-76-4)",,,Negative,Equivocal,,,,,,TR-556,DTXSID8031025," 27882-76-4 ( https://cebs.niehs.nih.gov/cebs/test_article/27882-76-4)"
"Dibutyl Phthalate","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=84-74-2)",,,Negative,Negative,,,,,,TR-600,DTXSID2021781," 84-74-2 ( https://cebs.niehs.nih.gov/cebs/test_article/84-74-2)"
"HC Yellow 4","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=59820-43-8)",,,,,,,,,,TR-419,DTXSID6021458," 59820-43-8 ( https://cebs.niehs.nih.gov/cebs/test_article/59820-43-8)"
"Polysorbate 80 (glycol)","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=9005-65-6)",,,,,,,,,,TR-415,DTXSID0021175," 9005-65-6 ( https://cebs.niehs.nih.gov/cebs/test_article/9005-65-6)"
Rotenone,"Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=83-79-4)",,,,,,,,,,TR-320,DTXSID6021248," 83-79-4 ( https://cebs.niehs.nih.gov/cebs/test_article/83-79-4)"
Roxarsone,"Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=121-19-7)",,,,,,,,,,TR-345,DTXSID9020956," 121-19-7 ( https://cebs.niehs.nih.gov/cebs/test_article/121-19-7)"
"Sodium Fluoride","Equivocal Evidence","No Evidence","No Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7681-49-4)",,,Negative,,,,,,,TR-393,DTXSID2020630," 7681-49-4 ( https://cebs.niehs.nih.gov/cebs/test_article/7681-49-4)"
Furosemide,"Equivocal Evidence","No Evidence","No Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=54-31-9)",,,Negative,,,,,,,TR-356,DTXSID6020648," 54-31-9 ( https://cebs.niehs.nih.gov/cebs/test_article/54-31-9)"
"Trimethylolpropane triacrylate","Equivocal Evidence","No Evidence","No Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=15625-89-5)",,,Negative,Negative,,,,,,TR-576,DTXSID0027773," 15625-89-5 ( https://cebs.niehs.nih.gov/cebs/test_article/15625-89-5)"
tris(2-Ethylhexyl)phosphate,"Equivocal Evidence","No Evidence","No Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=78-42-2)",,,Negative,,,,,,,TR-274,DTXSID0021414," 78-42-2 ( https://cebs.niehs.nih.gov/cebs/test_article/78-42-2)"
"Allyl glycidyl ether","Equivocal Evidence","No Evidence","Some Evidence","Equivocal Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=106-92-3)",,,"Positive; Negative",Negative,,,,,,TR-376,DTXSID9039232," 106-92-3 ( https://cebs.niehs.nih.gov/cebs/test_article/106-92-3)"
"Molybdenum trioxide","Equivocal Evidence","No Evidence","Some Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1313-27-5)",,,,,,,,,,TR-462,DTXSID7020899," 1313-27-5 ( https://cebs.niehs.nih.gov/cebs/test_article/1313-27-5)"
Triamterene,"Equivocal Evidence","No Evidence","Some Evidence","Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=396-01-0)",,,,,,,,,,TR-420,DTXSID6021373," 396-01-0 ( https://cebs.niehs.nih.gov/cebs/test_article/396-01-0)"
"Zinc Carbonate, Basic","Equivocal Evidence","No Evidence",,,,,,,F," ()",Negative,Negative,,,,Positive,Positive,,,TR-592,DTXSID4040212," 5263-02-5 ( https://cebs.niehs.nih.gov/cebs/test_article/5263-02-5)"
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","Equivocal Evidence",Positive,Positive,Positive,,,,,T," ()",,,,,,,,,,"TR-198 | TR-202",DTXSID0023824," 57653-85-7 ( https://cebs.niehs.nih.gov/cebs/test_article/57653-85-7)"
"beta-Thioguanidine deoxyriboside","Equivocal Evidence",Positive,,,,,,,F," ()",,,,,,,,,,TR-057,DTXSID4021345," 789-61-7 ( https://cebs.niehs.nih.gov/cebs/test_article/789-61-7)"
"HC Blue 1","Equivocal Evidence","Some Evidence","Clear Evidence","Clear Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2784-94-3)",,,,,,,,,,TR-271,DTXSID6020191," 2784-94-3 ( https://cebs.niehs.nih.gov/cebs/test_article/2784-94-3)"
p-Nitrotoluene,"Equivocal Evidence","Some Evidence","Equivocal Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=99-99-0)",Negative,,Negative,,,,,,,TR-498,DTXSID5023792," 99-99-0 ( https://cebs.niehs.nih.gov/cebs/test_article/99-99-0)"
Phenylbutazone,"Equivocal Evidence","Some Evidence","Some Evidence","No Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=50-33-9)",,,Negative,,,,,,,TR-367,DTXSID9021136," 50-33-9 ( https://cebs.niehs.nih.gov/cebs/test_article/50-33-9)"
Cresols,"Equivocal Evidence",,,"Some Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1319-77-3)",,,Negative,Negative,,,,,,TR-550,DTXSID3024364," 1319-77-3 ( https://cebs.niehs.nih.gov/cebs/test_article/1319-77-3)"
"1,1-Dichloroethane",Negative,"Equivocal Evidence",Negative,"Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-34-3)",,,,,,,,,,TR-066,DTXSID1020437," 75-34-3 ( https://cebs.niehs.nih.gov/cebs/test_article/75-34-3)"
"Aspirin, phenacetin, and caffeine",Negative,"Equivocal Evidence",Negative,Negative,,,,,F," ()",,,,,,,,,,TR-067,DTXSID0020109," 8003-03-0 ( https://cebs.niehs.nih.gov/cebs/test_article/8003-03-0)"
Picloram,Negative,"Equivocal Evidence",Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1918-02-1)",,,,,,,,,,TR-023,DTXSID1021160," 1918-02-1 ( https://cebs.niehs.nih.gov/cebs/test_article/1918-02-1)"
Heptachlor,Negative,"Equivocal Evidence",Positive,Positive,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=76-44-8)",,,,,,,,,,TR-009,DTXSID3020679," 76-44-8 ( https://cebs.niehs.nih.gov/cebs/test_article/76-44-8)"
Clonitralid,Negative,"Equivocal Evidence",,Negative,,,,,F," ()",,,,,,,,,,TR-091,DTXSID3020338," 1420-04-8 ( https://cebs.niehs.nih.gov/cebs/test_article/1420-04-8)"
"Allyl chloride",Negative,Negative,"Equivocal Evidence","Equivocal Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=107-05-1)",,,,,,,,,,TR-073,DTXSID4039231," 107-05-1 ( https://cebs.niehs.nih.gov/cebs/test_article/107-05-1)"
Eugenol,Negative,Negative,"Equivocal Evidence","Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=97-53-0)",,,Negative,,,,,,,TR-223,DTXSID9020617," 97-53-0 ( https://cebs.niehs.nih.gov/cebs/test_article/97-53-0)"
"2,7-Dichlorodibenzo-p-dioxin",Negative,Negative,"Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=33857-26-0)",,,,,,,,,,TR-123,DTXSID1020435," 33857-26-0 ( https://cebs.niehs.nih.gov/cebs/test_article/33857-26-0)"
Dieldrin,Negative,Negative,"Equivocal Evidence",Negative,,,,,T,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=60-57-1)",,,,,,,,,,"TR-021 | TR-022",DTXSID9020453," 60-57-1 ( https://cebs.niehs.nih.gov/cebs/test_article/60-57-1)"
"Dimethyl terephthalate",Negative,Negative,"Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=120-61-6)",,,Negative,,,,,,,TR-121,DTXSID0020498," 120-61-6 ( https://cebs.niehs.nih.gov/cebs/test_article/120-61-6)"
Fenthion,Negative,Negative,"Equivocal Evidence",Negative,,,,,F,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=55-38-9)",,,,,,,,,,TR-103,DTXSID8020620," 55-38-9 ( https://cebs.niehs.nih.gov/cebs/test_article/55-38-9)"
Fluometuron,Negative,Negative,"Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2164-17-2)",,,,,,,,,,TR-195,DTXSID8020628," 2164-17-2 ( https://cebs.niehs.nih.gov/cebs/test_article/2164-17-2)"
Styrene,Negative,Negative,"Equivocal Evidence",Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=100-42-5)",,,,,,,,,,TR-185,DTXSID2021284," 100-42-5 ( https://cebs.niehs.nih.gov/cebs/test_article/100-42-5)"
"2-Biphenylamine hydrochloride",Negative,Negative,"Equivocal Evidence",Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2185-92-4)",,,Negative,,,,,,,TR-233,DTXSID4020163," 2185-92-4 ( https://cebs.niehs.nih.gov/cebs/test_article/2185-92-4)"
Chloramben,Negative,Negative,"Equivocal Evidence",Positive,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=133-90-4)",,,,,,,,,,TR-025,DTXSID2020262," 133-90-4 ( https://cebs.niehs.nih.gov/cebs/test_article/133-90-4)"
"2,5-Dithiobiurea",Negative,Negative,Negative,"Equivocal Evidence",,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=142-46-1)",,,,,,,,,,TR-132,DTXSID8020545," 142-46-1 ( https://cebs.niehs.nih.gov/cebs/test_article/142-46-1)"
Di(p-ethylphenyl)dichloroethane,Negative,Negative,Negative,"Equivocal Evidence",,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=72-56-0)",,,,,,,,,,TR-156,DTXSID4020589," 72-56-0 ( https://cebs.niehs.nih.gov/cebs/test_article/72-56-0)"
"1,2-Dichlorobenzene (o-dichlorobenzene)",Negative,Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-50-1)",,,Negative,Negative,,,,,,TR-255,DTXSID6020430," 95-50-1 ( https://cebs.niehs.nih.gov/cebs/test_article/95-50-1)"
1-Nitronaphthalene,Negative,Negative,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=86-57-7)",,,,,,,,,,TR-064,DTXSID7020978," 86-57-7 ( https://cebs.niehs.nih.gov/cebs/test_article/86-57-7)"
1-Phenyl-2-thiourea,Negative,Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=103-85-5)",,,,,,,,,,TR-148,DTXSID9021134," 103-85-5 ( https://cebs.niehs.nih.gov/cebs/test_article/103-85-5)"
1-Phenyl-3-methyl-5-pyrazolone,Negative,Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=89-25-8)",,,,,,,,,,TR-141,DTXSID9021130," 89-25-8 ( https://cebs.niehs.nih.gov/cebs/test_article/89-25-8)"
"2,3,5,6-Tetrachloro-4-nitroanisole",Negative,Negative,Negative,Negative,,,,,F,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2438-88-2)",,,,,,,,,,TR-114,DTXSID2021313," 2438-88-2 ( https://cebs.niehs.nih.gov/cebs/test_article/2438-88-2)"
"2,4-Dimethoxyaniline hydrochloride",Negative,Negative,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=54150-69-5)",,,Negative,,,,,,,TR-171,DTXSID1020483," 54150-69-5 ( https://cebs.niehs.nih.gov/cebs/test_article/54150-69-5)"
"2,5-Toluenediamine sulfate",Negative,Negative,Negative,Negative,,,,,F,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6369-59-1)",,,,,,,,,,TR-126,DTXSID9020405," 6369-59-1 ( https://cebs.niehs.nih.gov/cebs/test_article/6369-59-1)"
